Time,Humidity,Temperature
0:02:59,67.64,62.00
0:03:02,67.45,62.20
0:03:05,67.28,62.40
0:03:08,67.12,62.60
0:03:11,66.97,62.80
0:03:14,66.83,63.00
0:03:17,66.70,63.20
0:03:20,66.58,63.40
0:03:23,66.47,63.60
0:03:26,66.37,63.80
0:03:29,66.28,64.00
0:03:32,66.20,64.20
0:03:35,66.13,64.40
0:03:39,66.06,64.60
0:03:42,66.00,64.80
0:03:45,65.95,65.00
0:03:48,65.90,65.20
0:03:51,65.86,65.40
0:03:54,65.83,65.60
0:03:57,65.80,65.80
0:04:00,65.78,66.00
0:04:03,65.76,66.20
0:04:06,65.75,66.40
0:04:09,65.74,66.60
0:04:12,65.73,66.80
0:04:15,65.73,67.00
0:04:18,65.73,67.20
0:04:21,65.73,67.40
0:04:25,65.73,67.60
0:04:28,65.73,67.80
0:04:31,65.73,68.00
0:04:34,65.73,68.20
0:04:37,65.73,68.40
